customer_id,age,gender,marital_status,household_size,education_level,occupation,income_level,location,state,country,proximity_to_branch,transaction_frequency,transaction_volume,transaction_type,atm_usage_patterns,online_banking_activity,channel_preferences,customer_service_interactions,product_engagement,savings_balance,checking_balance,investment_balance,credit_card_usage,loan_history,loan_repayment_behavior,investment_portfolio,credit_score,attitudes_towards_banking,financial_goals,risk_tolerance,spending_habits,interests_hobbies,customer_satisfaction_score,net_promoter_score,loyalty_program_participation,cross_selling_response_rate,inflation_rate,gdp_growth,social_media_behavior,online_shopping_habits,digital_engagement,major_life_events,significant_financial_milestones,survey_responses,preferred_communication_channels,product_feature_requests,risk_assessment_data,credit_risk_indicators
11,30,Male,Married,4,High School,Employed,Medium,Rural,IL,Canada,Close,3,2475.719732,Purchase,Occasional,Medium,Mobile App,High,Yes,23012.40596,12786.64579,97123.40714,16242.20613,Personal Loan,Good,Moderate,343,Positive,Retirement Planning,High,Conservative,Music,1,9,No,0.706177009,2.806940226,1.827288997,Low,Occasional,Low,Retirement,Buying a House,Neutral,Phone,No,High Risk,High Risk
12,43,Female,Widowed,4,College,Unemployed,Medium,Urban,NY,USA,Moderate,22,5210.455317,Transfer,Occasional,High,Branch,Medium,No,26542.6957,6263.546364,605.5194399,17099.04892,Personal Loan,Poor,Conservative,608,Positive,Wealth Accumulation,Low,Conservative,Reading,3,3,No,0.183515847,1.780765638,1.627049935,Active,Frequent,Low,Marriage,None,Negative,Mail,No,Medium Risk,High Risk
13,55,Male,Widowed,2,College,Self-employed,High,Urban,FL,Australia,Far,25,7586.351807,Transfer,Rare,High,Mobile App,High,Yes,15418.74969,3624.557302,53335.88447,1352.391416,Mortgage,Average,Conservative,330,Neutral,Education Funding,Medium,Moderate,Reading,4,0,Yes,0.892897496,0.001404994,0.565650767,Moderate,Occasional,Medium,Marriage,Buying a House,Positive,Phone,No,High Risk,Stable
14,59,Male,Married,2,Bachelor,Unemployed,Low,Suburban,FL,Canada,Close,24,6803.037062,Deposit,Occasional,Medium,Mobile App,Low,Yes,34004.77329,15401.79533,70474.18539,1404.952521,Personal Loan,Average,Aggressive,674,Positive,Wealth Accumulation,High,Conservative,Sports,3,3,Yes,0.614894483,4.907371657,1.656924648,Low,Occasional,Medium,Marriage,Starting a Business,Positive,Phone,No,Low Risk,Warning
15,43,Female,Single,2,PhD,Unemployed,Low,Urban,CA,Canada,Moderate,7,2125.436778,Withdrawal,Occasional,Low,Mobile App,Low,Yes,12926.84275,13962.511,7792.713336,17032.14584,Mortgage,Poor,Conservative,419,Negative,Retirement Planning,High,Conservative,Music,2,0,Yes,0.461766078,4.775250694,3.877992719,Active,Occasional,High,Retirement,Buying a House,Negative,SMS,No,Medium Risk,Stable
16,22,Female,Widowed,1,Bachelor,Student,Low,Suburban,CA,Canada,Close,23,863.0112822,Deposit,Occasional,Low,Website,High,Yes,7887.645016,9891.914454,38425.25079,7886.935226,Car Loan,Average,Aggressive,761,Negative,Retirement Planning,Medium,Spender,Travel,4,4,No,0.688648797,1.286377928,2.159178613,Moderate,Occasional,Low,Birth of a Child,None,Neutral,SMS,No,Medium Risk,High Risk
17,41,Female,Divorced,5,PhD,Student,Low,Rural,CA,Australia,Moderate,21,9126.44025,Transfer,Rare,High,Website,Low,No,46624.5039,11680.64055,71594.18469,3558.295769,Mortgage,Poor,Conservative,471,Negative,Wealth Accumulation,Low,Conservative,Travel,3,3,Yes,0.35962638,3.014308413,1.338008311,Moderate,Rare,Low,Birth of a Child,Starting a Business,Neutral,Email,No,High Risk,Stable
18,21,Female,Married,4,High School,Self-employed,Medium,Urban,NY,Australia,Moderate,15,6257.738014,Transfer,Rare,Low,Website,Low,No,585.4692863,6486.894825,2225.869969,7372.83122,Mortgage,Average,Conservative,608,Negative,Education Funding,Low,Spender,Cooking,1,6,No,0.675827088,4.547018427,1.665778773,Active,Frequent,Low,Marriage,None,Neutral,SMS,No,High Risk,Warning
19,43,Female,Divorced,5,High School,Self-employed,High,Rural,TX,Australia,Far,2,7094.980633,Transfer,Rare,Medium,Website,Low,Yes,30815.32355,4456.551721,91565.76098,1432.691419,Car Loan,Poor,Moderate,785,Positive,Education Funding,Medium,Moderate,Sports,3,2,Yes,0.065382167,2.059731661,1.984026936,Low,Rare,High,Birth of a Child,Starting a Business,Negative,SMS,No,Low Risk,High Risk
20,63,Female,Single,4,Bachelor,Self-employed,High,Suburban,CA,UK,Moderate,9,3921.539057,Transfer,Rare,Low,Website,Low,No,34697.08548,2471.693239,46675.64646,18501.72482,Personal Loan,Good,Aggressive,585,Negative,Retirement Planning,High,Spender,Reading,3,8,Yes,0.494663543,2.566960298,0.619944565,Active,Occasional,Medium,None,Starting a Business,Negative,Phone,No,High Risk,High Risk
21,49,Male,Married,4,Master,Student,High,Suburban,IL,USA,Close,3,2491.907879,Withdrawal,Rare,High,Branch,High,No,37356.5417,5872.50537,18632.25417,5049.798789,Personal Loan,Average,Moderate,798,Positive,Education Funding,Medium,Conservative,Sports,2,2,Yes,0.213675629,2.855421161,4.899205555,Moderate,Occasional,Low,None,Buying a House,Neutral,Email,No,Medium Risk,Warning
22,57,Female,Divorced,4,College,Student,Medium,Rural,FL,UK,Far,25,5353.112908,Deposit,Frequent,Medium,Mobile App,Low,No,25681.86286,3467.576626,49686.03408,2394.356908,Personal Loan,Average,Moderate,427,Neutral,Retirement Planning,Low,Moderate,Travel,1,0,Yes,0.340987882,0.860707465,4.228196519,Active,Occasional,Medium,None,Buying a House,Neutral,SMS,No,Low Risk,Warning
23,21,Male,Divorced,4,Bachelor,Unemployed,Low,Suburban,FL,Australia,Far,10,871.0304907,Transfer,Rare,Low,Branch,High,Yes,12436.10526,9595.165488,5837.403007,1174.584705,Personal Loan,Good,Moderate,349,Neutral,Retirement Planning,Low,Conservative,Cooking,1,6,Yes,0.853571957,0.380360003,0.512418487,Low,Rare,Low,Marriage,Buying a House,Negative,Email,Yes,Low Risk,High Risk
24,40,Female,Single,3,Bachelor,Unemployed,Low,Urban,IL,UK,Close,18,8019.766792,Deposit,Occasional,Low,Website,Medium,Yes,40180.97589,19575.43667,29571.74532,1348.305231,Car Loan,Good,Moderate,305,Negative,Wealth Accumulation,Medium,Conservative,Sports,4,1,No,0.24957108,1.33978615,1.710848981,Moderate,Frequent,High,Birth of a Child,None,Neutral,Phone,No,Medium Risk,High Risk
25,52,Male,Married,3,High School,Unemployed,Medium,Suburban,FL,UK,Close,15,6579.599811,Transfer,Occasional,Low,Branch,High,No,4208.991326,9188.914703,99633.72315,14890.27757,Car Loan,Poor,Aggressive,768,Positive,Retirement Planning,Medium,Conservative,Sports,2,4,No,0.097187561,1.777089684,3.881653256,Low,Occasional,Medium,Marriage,Buying a House,Negative,Email,No,Low Risk,Stable
26,31,Male,Widowed,1,College,Self-employed,Medium,Urban,NY,USA,Far,29,7640.176505,Withdrawal,Occasional,Medium,Mobile App,High,Yes,47801.21886,50.89090421,53071.82345,12109.97706,None,Average,Conservative,804,Positive,Retirement Planning,High,Moderate,Reading,1,9,No,0.418918609,0.981340875,4.971421277,Active,Rare,Low,None,None,Negative,Phone,Yes,Medium Risk,Warning
27,41,Female,Widowed,2,Bachelor,Employed,High,Suburban,IL,Australia,Moderate,16,5735.682765,Transfer,Rare,Medium,Website,Low,Yes,15690.64613,18317.47412,8183.356294,1052.930303,Car Loan,Good,Aggressive,352,Neutral,Wealth Accumulation,Low,Conservative,Sports,3,2,No,0.56137814,4.477190323,1.875403585,Low,Rare,Medium,Birth of a Child,Buying a House,Positive,Mail,No,High Risk,Warning
28,63,Female,Divorced,4,High School,Student,High,Urban,NY,UK,Far,13,5821.300519,Withdrawal,Occasional,Medium,Website,High,Yes,3614.062257,8016.536544,78675.8283,12379.30976,Personal Loan,Average,Moderate,369,Positive,Wealth Accumulation,High,Spender,Music,4,6,No,0.730304128,4.941817178,0.620111034,Low,Occasional,Low,Retirement,None,Positive,Mail,No,Low Risk,Stable
29,44,Male,Single,5,High School,Self-employed,Medium,Suburban,FL,UK,Far,12,6043.719035,Transfer,Rare,Medium,Mobile App,High,Yes,5097.705714,2263.365827,7480.948756,16746.90189,Mortgage,Good,Aggressive,464,Negative,Retirement Planning,High,Conservative,Reading,2,1,Yes,0.511847384,0.600382359,2.502903579,Active,Rare,Low,Marriage,Buying a House,Neutral,Phone,Yes,Low Risk,Stable
30,68,Female,Divorced,3,Bachelor,Student,Medium,Suburban,IL,Canada,Close,12,7863.174731,Transfer,Occasional,Low,Website,Low,Yes,49523.67448,8860.091714,44167.16576,499.1982091,Mortgage,Poor,Conservative,514,Negative,Retirement Planning,Low,Moderate,Sports,3,3,No,0.894574438,2.214444595,2.400946009,Active,Frequent,Medium,None,Buying a House,Negative,SMS,No,Low Risk,Stable
31,46,Female,Single,2,Bachelor,Employed,Medium,Rural,IL,Canada,Close,1,2331.315528,Deposit,Frequent,High,Branch,Medium,Yes,30416.65767,14341.09558,91366.43695,2405.453048,Personal Loan,Poor,Conservative,703,Negative,Wealth Accumulation,Medium,Conservative,Sports,3,5,Yes,0.918626009,0.999650842,3.382285413,Moderate,Occasional,High,None,None,Neutral,Phone,Yes,Medium Risk,High Risk
32,61,Male,Widowed,1,High School,Student,Low,Rural,IL,Australia,Close,15,6847.167905,Purchase,Rare,High,Mobile App,High,Yes,30511.88451,6639.212466,2862.702539,12361.29275,Personal Loan,Average,Moderate,798,Neutral,Wealth Accumulation,Low,Moderate,Reading,4,8,No,0.748526547,4.708891489,0.737365581,Active,Rare,Medium,None,Starting a Business,Negative,Phone,No,Low Risk,Warning
33,47,Male,Divorced,2,Bachelor,Student,High,Urban,FL,UK,Far,26,5571.786061,Withdrawal,Occasional,Low,Website,Medium,Yes,41190.52989,11995.77675,94847.0558,3729.034498,Personal Loan,Good,Aggressive,739,Negative,Education Funding,High,Spender,Reading,1,2,Yes,0.451039578,4.627171052,2.807437285,Active,Frequent,Low,Birth of a Child,Starting a Business,Positive,Mail,Yes,Medium Risk,Stable
34,35,Male,Divorced,4,College,Student,Medium,Rural,FL,Australia,Far,23,5001.56675,Withdrawal,Occasional,Low,Website,High,Yes,24538.31655,2661.357623,35741.06931,1497.88879,Mortgage,Good,Aggressive,812,Neutral,Retirement Planning,Low,Moderate,Travel,3,8,Yes,0.723066475,1.84454113,1.516026081,Low,Rare,High,Birth of a Child,Buying a House,Positive,SMS,Yes,High Risk,High Risk
35,34,Female,Single,2,High School,Unemployed,Medium,Rural,FL,USA,Close,1,5454.974882,Purchase,Occasional,Medium,Mobile App,Medium,No,12567.18752,19823.10417,4620.948457,14657.62064,Car Loan,Poor,Conservative,388,Negative,Wealth Accumulation,Medium,Conservative,Travel,3,3,Yes,0.476718945,3.458676129,2.995198968,Low,Frequent,High,Birth of a Child,Starting a Business,Positive,Phone,No,Medium Risk,Warning
36,66,Female,Married,4,High School,Employed,Low,Urban,CA,Australia,Far,8,2794.781292,Withdrawal,Occasional,High,Website,Low,Yes,7497.237416,10617.83551,52797.00673,10643.01929,Mortgage,Good,Conservative,475,Negative,Wealth Accumulation,Medium,Spender,Reading,3,1,Yes,0.780313239,4.725612255,0.611756981,Active,Occasional,Low,Marriage,None,Positive,Phone,No,Low Risk,High Risk
37,63,Female,Single,3,Bachelor,Self-employed,Medium,Rural,CA,Australia,Close,16,467.098321,Withdrawal,Frequent,Medium,Branch,High,Yes,6456.071145,199.410715,75387.63121,8103.452797,Personal Loan,Good,Moderate,465,Negative,Education Funding,High,Spender,Cooking,2,2,Yes,0.307661332,3.879628409,0.854308905,Moderate,Rare,Low,None,None,Negative,Email,Yes,Medium Risk,Warning
38,22,Female,Married,3,Bachelor,Self-employed,High,Urban,TX,UK,Far,16,7615.723211,Withdrawal,Frequent,Medium,Website,Low,Yes,39703.64833,14084.7088,27495.86835,6395.245472,None,Good,Conservative,558,Positive,Wealth Accumulation,Low,Spender,Music,3,6,Yes,0.427195519,1.742906855,1.010065754,Active,Occasional,Medium,None,None,Neutral,Phone,Yes,High Risk,Stable
39,56,Male,Widowed,4,Bachelor,Self-employed,Low,Urban,IL,USA,Moderate,3,9170.117882,Purchase,Rare,Low,Mobile App,Medium,Yes,43556.44265,11894.60888,40082.01678,12359.88992,None,Average,Conservative,665,Negative,Education Funding,High,Conservative,Sports,1,6,Yes,0.779702393,3.176224354,4.97077874,Active,Rare,Low,Birth of a Child,None,Neutral,SMS,Yes,Low Risk,High Risk
40,26,Female,Divorced,5,College,Employed,Medium,Urban,FL,Australia,Close,19,4859.549547,Withdrawal,Frequent,Medium,Website,Low,Yes,41810.1537,675.7120576,93953.69227,7130.431318,Personal Loan,Good,Aggressive,682,Negative,Education Funding,High,Moderate,Reading,4,7,No,0.901484352,4.289986595,3.339268008,Low,Occasional,High,Birth of a Child,None,Neutral,Phone,Yes,Low Risk,Warning
41,40,Male,Divorced,3,High School,Student,High,Urban,IL,Canada,Moderate,28,8395.227865,Transfer,Rare,Low,Website,Medium,Yes,48424.43517,1343.499194,71608.45965,10090.66215,Mortgage,Poor,Aggressive,454,Positive,Retirement Planning,Low,Conservative,Travel,2,1,No,0.782708441,3.092954474,0.801914785,Moderate,Occasional,High,None,None,Positive,Email,No,Medium Risk,Stable
42,28,Female,Single,5,Master,Self-employed,High,Suburban,NY,USA,Close,14,5597.038691,Transfer,Rare,High,Website,Medium,Yes,43667.95491,3879.743393,88757.58981,3716.921202,None,Average,Moderate,601,Negative,Retirement Planning,Medium,Conservative,Sports,2,3,Yes,0.912853352,1.738605577,2.138849312,Moderate,Frequent,Low,None,Starting a Business,Negative,Phone,Yes,Medium Risk,Stable
43,58,Female,Single,4,College,Employed,Low,Suburban,NY,UK,Close,9,9309.991994,Withdrawal,Frequent,High,Mobile App,High,Yes,20568.7964,2914.191086,97077.09346,17901.95211,Personal Loan,Good,Moderate,365,Positive,Education Funding,Medium,Conservative,Sports,2,6,No,0.885678964,3.939445375,4.908129666,Low,Rare,Medium,Retirement,None,Positive,SMS,No,Medium Risk,High Risk
44,37,Male,Widowed,4,College,Unemployed,High,Urban,FL,Canada,Far,27,5133.333449,Purchase,Rare,Medium,Website,High,Yes,8231.774551,11563.39401,1430.120152,2050.331332,Mortgage,Good,Aggressive,622,Positive,Retirement Planning,High,Moderate,Travel,4,0,Yes,0.950355967,4.722363613,2.2163106,Active,Occasional,Low,Retirement,Starting a Business,Negative,SMS,No,High Risk,High Risk
45,23,Female,Widowed,3,High School,Employed,Low,Rural,CA,USA,Close,12,2128.041883,Transfer,Rare,Medium,Website,High,Yes,39286.47163,8083.945475,50985.89297,1055.693904,Car Loan,Good,Conservative,457,Neutral,Retirement Planning,Medium,Moderate,Sports,2,2,Yes,0.855166726,0.628518312,1.296251247,Active,Frequent,Medium,Marriage,Buying a House,Neutral,SMS,Yes,Medium Risk,Stable
46,44,Female,Married,5,Master,Unemployed,High,Urban,TX,UK,Moderate,16,8714.13962,Transfer,Frequent,High,Branch,High,Yes,25363.0743,2249.603607,5800.357329,9104.887132,Car Loan,Average,Conservative,652,Negative,Retirement Planning,High,Moderate,Cooking,3,3,Yes,0.401923548,1.108343754,2.481087319,Moderate,Frequent,High,Retirement,None,Negative,SMS,No,High Risk,High Risk
47,33,Male,Widowed,4,High School,Employed,Medium,Urban,CA,UK,Moderate,1,8022.690754,Transfer,Frequent,High,Branch,High,Yes,17585.7837,26.6892386,68838.36086,17518.62593,Personal Loan,Good,Aggressive,533,Positive,Education Funding,Low,Conservative,Travel,4,7,Yes,0.47516816,3.00659807,2.429651826,Active,Frequent,High,Marriage,Buying a House,Positive,Mail,Yes,High Risk,Warning
48,69,Female,Widowed,3,College,Unemployed,Low,Rural,IL,USA,Far,7,4040.306274,Purchase,Occasional,High,Mobile App,Low,Yes,1147.816487,8871.456885,5988.792883,14840.75441,Mortgage,Good,Conservative,439,Negative,Wealth Accumulation,Low,Conservative,Cooking,1,2,No,0.23903155,4.114868175,1.011716317,Low,Occasional,Medium,Retirement,None,Negative,Mail,Yes,Low Risk,Warning
49,28,Male,Widowed,4,Bachelor,Self-employed,High,Urban,CA,USA,Close,18,8434.924298,Deposit,Occasional,Low,Branch,Low,No,39810.00879,19198.75778,12004.03696,1126.001981,None,Poor,Moderate,360,Neutral,Retirement Planning,Medium,Conservative,Cooking,3,8,Yes,0.299921938,1.713705532,4.841106381,Moderate,Frequent,Medium,None,Buying a House,Neutral,Email,No,High Risk,High Risk
50,45,Male,Widowed,2,High School,Employed,Low,Suburban,FL,USA,Close,11,189.5996799,Withdrawal,Occasional,Low,Mobile App,Low,Yes,43791.31109,5513.709684,63138.39655,18036.85123,Personal Loan,Average,Aggressive,646,Positive,Retirement Planning,Medium,Conservative,Music,1,6,Yes,0.22680721,0.172978588,3.630694404,Active,Rare,High,Retirement,Buying a House,Neutral,Phone,No,Medium Risk,Warning
51,21,Male,Married,2,High School,Unemployed,High,Urban,CA,UK,Far,3,8017.497298,Transfer,Frequent,Medium,Mobile App,High,Yes,28410.82681,3792.565787,5008.328087,4221.792409,None,Poor,Aggressive,779,Positive,Education Funding,High,Moderate,Sports,4,7,Yes,0.169793974,2.358100461,0.322487408,Moderate,Occasional,High,Marriage,Starting a Business,Positive,Phone,No,High Risk,Warning
52,39,Male,Widowed,3,Bachelor,Student,Low,Suburban,NY,Canada,Close,10,6911.597611,Transfer,Rare,Medium,Website,High,Yes,47720.60189,13886.31187,85753.16908,10226.13176,Mortgage,Poor,Moderate,531,Negative,Retirement Planning,Low,Spender,Cooking,4,9,No,0.099561978,4.88594349,0.612251013,Moderate,Occasional,Medium,Marriage,None,Neutral,Phone,No,Low Risk,Warning
53,47,Female,Married,4,Master,Self-employed,Medium,Rural,FL,Canada,Close,12,3858.813188,Withdrawal,Frequent,Medium,Branch,Medium,Yes,2178.657501,15215.33399,8071.100972,5760.269825,Car Loan,Average,Moderate,681,Positive,Education Funding,Low,Moderate,Cooking,2,2,Yes,0.593293845,2.007216922,0.549837884,Active,Frequent,Low,Birth of a Child,None,Neutral,Phone,No,Low Risk,Stable
54,66,Female,Single,3,Master,Self-employed,Low,Rural,FL,UK,Moderate,8,7936.699696,Withdrawal,Rare,Medium,Branch,Low,No,3872.681104,2185.325489,69984.17188,3781.302728,Mortgage,Good,Aggressive,418,Neutral,Education Funding,Low,Moderate,Reading,2,9,Yes,0.405751063,1.170126275,0.87961876,Low,Frequent,Medium,None,Buying a House,Positive,Phone,Yes,Low Risk,Warning
55,26,Female,Divorced,1,High School,Unemployed,Low,Rural,FL,USA,Moderate,3,1353.952605,Transfer,Rare,High,Branch,Medium,No,5997.273526,3254.703706,94450.21742,12511.32842,Personal Loan,Average,Conservative,452,Neutral,Education Funding,High,Conservative,Music,2,5,No,0.525772606,0.255667958,3.857896328,Moderate,Rare,Low,None,Starting a Business,Positive,Phone,Yes,Medium Risk,Warning
56,63,Male,Single,3,Bachelor,Unemployed,Medium,Suburban,CA,UK,Moderate,2,2112.862259,Transfer,Rare,Medium,Branch,High,Yes,18288.91199,12244.57305,84377.26232,13313.23671,Car Loan,Poor,Moderate,682,Negative,Wealth Accumulation,High,Moderate,Music,4,8,No,0.786809474,0.503747294,2.42177245,Moderate,Occasional,High,Marriage,None,Positive,Email,No,High Risk,Stable
57,27,Female,Widowed,3,High School,Employed,High,Urban,NY,UK,Moderate,7,5382.442308,Transfer,Frequent,Medium,Branch,Low,Yes,17675.19063,7173.605908,55456.59878,10787.79513,Mortgage,Average,Moderate,587,Neutral,Wealth Accumulation,High,Moderate,Music,1,5,No,0.705996669,1.212955626,4.427433866,Moderate,Occasional,Low,Birth of a Child,None,Negative,Email,No,Medium Risk,High Risk
58,66,Female,Divorced,2,Bachelor,Unemployed,Medium,Rural,CA,UK,Close,12,8822.160248,Purchase,Occasional,Medium,Website,Low,No,30923.9383,2011.977008,87096.35529,2860.958521,Personal Loan,Average,Moderate,825,Positive,Education Funding,Low,Conservative,Sports,3,8,No,0.045167806,4.255904838,0.57786112,Low,Rare,High,None,Starting a Business,Positive,Mail,No,High Risk,Warning
59,54,Female,Widowed,2,College,Unemployed,Low,Rural,IL,UK,Close,13,1388.03981,Deposit,Rare,High,Branch,High,Yes,42532.62151,12012.93289,94679.3674,10718.26976,None,Poor,Moderate,551,Positive,Wealth Accumulation,Medium,Spender,Travel,4,5,Yes,0.753442146,0.59550571,3.464824641,Active,Rare,Low,Birth of a Child,None,Negative,Mail,No,Medium Risk,Stable
60,33,Female,Widowed,4,Bachelor,Student,Medium,Rural,TX,Canada,Moderate,28,5686.259911,Deposit,Occasional,Medium,Website,Medium,No,4830.587458,13340.51972,35880.58176,10732.31555,Personal Loan,Poor,Moderate,395,Neutral,Retirement Planning,Low,Spender,Sports,3,9,Yes,0.10191135,4.724968068,2.401005354,Low,Rare,High,Marriage,None,Neutral,Email,No,Medium Risk,Stable
61,36,Male,Single,3,High School,Self-employed,Medium,Urban,TX,USA,Close,19,7556.00384,Withdrawal,Occasional,Medium,Website,Low,Yes,25915.59848,13329.23583,88518.97806,8593.42945,Mortgage,Good,Moderate,587,Negative,Education Funding,Medium,Spender,Sports,2,7,No,0.66272236,1.487684905,1.771462915,Moderate,Occasional,Low,Birth of a Child,Buying a House,Negative,Phone,No,High Risk,Stable
62,55,Male,Widowed,3,PhD,Unemployed,Low,Urban,TX,UK,Far,24,7459.199391,Purchase,Occasional,High,Branch,Low,Yes,3460.369772,8899.736601,51302.57169,19923.71088,Mortgage,Good,Moderate,356,Positive,Retirement Planning,High,Conservative,Music,2,7,Yes,0.841646897,2.771679435,0.288314596,Low,Rare,Low,Retirement,Buying a House,Neutral,Mail,Yes,Medium Risk,Warning
63,69,Female,Single,4,Master,Unemployed,Low,Suburban,IL,UK,Far,20,6316.815208,Deposit,Occasional,Low,Mobile App,High,No,6132.995348,18221.55533,96244.77327,17501.26904,None,Average,Aggressive,475,Negative,Wealth Accumulation,High,Moderate,Travel,1,3,Yes,0.288574978,1.638498431,0.228910078,Active,Rare,Low,Birth of a Child,None,Positive,Mail,Yes,High Risk,High Risk
64,59,Male,Widowed,5,High School,Student,Medium,Suburban,IL,USA,Close,22,9415.118568,Purchase,Occasional,Medium,Mobile App,Medium,Yes,38287.59152,8135.13178,75630.65092,16493.08688,None,Average,Moderate,844,Neutral,Education Funding,High,Spender,Travel,4,9,Yes,0.835886116,1.172375202,1.662980094,Low,Rare,Medium,Marriage,Buying a House,Positive,Mail,Yes,Low Risk,Warning
65,23,Female,Married,4,Bachelor,Unemployed,Low,Urban,IL,USA,Close,11,4873.157594,Deposit,Rare,Medium,Branch,High,Yes,27606.89304,6439.725572,38648.08548,7762.584966,None,Good,Conservative,703,Neutral,Retirement Planning,High,Conservative,Music,2,2,Yes,0.488085689,0.932981211,0.016468306,Moderate,Rare,Medium,Retirement,Starting a Business,Positive,Email,Yes,High Risk,Stable
